Filename,Datetime (YYYYMMDDHHMMSS),Session,Minute,Category,Morph,,,,,,,,,
B007C0001_20210510102106_0034_t1.137.Still005.tif,20210510102106,1,34,B,1,,,,,,,,,
B007C0003_20210510111712_0002_t1.0.Still005.tif,20210510111712,3,02,B,4,,,,,,,,,
B007C0003_20210510111712_0006_t1.158.Still005.tif,20210510111712,3,06,B,7,,,,,,,,,
B007C0003_20210510111712_0014_t1.67.Still005.tif,20210510111712,3,14,B,undetermined,,,,,,,,,
B008C0004_20210511120004_0003_t1.102.Still005.tif,20210511120004,4,03,B,8,,,,,,,,,
B008C0004_20210511120004_0004_t1.121.Still005.tif,20210511120004,4,04,B,undetermined,,,,,,,,,
B008C0004_20210511120004_0005_t1.117.Still005.tif,20210511120004,4,05,B,6,,,,,,,,,
B008C0004_20210511120004_0007_t1.33.Still005.tif,20210511120004,4,07,B,7,,,,,,,,,
B008C0004_20210511120004_0027_t1.198.Still005.tif,20210511120004,4,27,B,undetermined,,,,,,,,,
B008C0004_20210511120004_0034_t1.264.Still005.tif,20210511120004,4,34,B,undetermined,,,,,,,,,
B008C0004_20210511120004_0035_t1.250.Still005.tif,20210511120004,4,35,B,undetermined,,,,,,,,,
B008C0004_20210511120004_0037_t1.114.Still005.tif,20210511120004,4,37,B,8,,,,,,,,,
B008C0004_20210511120004_0044_t1.226.Still005.tif,20210511120004,4,44,B,5,,,,,,,,,
B008C0004_20210511120004_0051_t1.285.Still005.tif,20210511120004,4,51,B,11,,,,,,,,,
B010C0001_20210513103013_0002_t1.142.Still005.tif,20210513103013,1,02,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0002_t2.268.Still005.tif,20210513103013,1,02,B,9,,,,,,,,,
B010C0001_20210513103013_0003_t1.240.Still005.tif,20210513103013,1,03,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0004_t1.228.Still005.tif,20210513103013,1,04,B,1,,,,,,,,,
B010C0001_20210513103013_0005_t1.252.Still005.tif,20210513103013,1,05,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0010_t1.224.Still005.tif,20210513103013,1,10,B,8,,,,,,,,,
B010C0001_20210513103013_0020_t1.57.Still005.tif,20210513103013,1,20,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0022_t1.80.Still005.tif,20210513103013,1,22,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0024_t1.67.Still005.tif,20210513103013,1,24,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0025_t2.11.Still005.tif,20210513103013,1,25,B,13,,,,,,,,,
B010C0001_20210513103013_0026_t1.232.Still005.tif,20210513103013,1,26,B,8,,,,,,,,,
B010C0001_20210513103013_0030_t1.212.Still005.tif,20210513103013,1,30,B,9,,,,,,,,,
B010C0001_20210513103013_0031_t1.299.Still005.tif,20210513103013,1,31,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0031_t2.213.Still005.tif,20210513103013,1,31,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0032_t1.321.Still005.tif,20210513103013,1,32,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0032_t2.271.Still005.tif,20210513103013,1,32,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0034_t1.291.Still005.tif,20210513103013,1,34,B,3,,,,,,,,,
B010C0001_20210513103013_0036_t1.317.Still005.tif,20210513103013,1,36,B,5,,,,,,,,,
B010C0001_20210513103013_0037_t1.267.Still005.tif,20210513103013,1,37,B,12,,,,,,,,,
B010C0001_20210513103013_0039_t1.338.Still005.tif,20210513103013,1,39,B,12,,,,,,,,,
B010C0001_20210513103013_0041_t1.277.Still005.tif,20210513103013,1,41,B,8,,,,,,,,,
B010C0001_20210513103013_0043_t1.298.Still005.tif,20210513103013,1,43,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0044_t1.176.Still005.tif,20210513103013,1,44,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0047_t1.288.Still005.tif,20210513103013,1,47,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0048_t1.232.Still005.tif,20210513103013,1,48,B,undetermined,,,,,,,,,
B010C0001_20210513103013_0055_t1.205.Still005.tif,20210513103013,1,55,B,17,,,,,,,,,
B010C0003_20210513112954_0003_t1.96.Still005.tif,20210513112954,3,03,B,undetermined,,,,,,,,,
B010C0003_20210513112954_0003_t2.138.Still005.tif,20210513112954,3,03,B,11,,,,,,,,,
B010C0003_20210513112954_0009_t1.113.Still005.tif,20210513112954,3,09,B,12,,,,,,,,,
B010C0003_20210513112954_0011_t1.368.Still005.tif,20210513112954,3,11,B,3,,,,,,,,,
B011C0004_20210514115441_0004_t1.337.Still005.tif,20210514115441,4,04,B,12,,,,,,,,,
B011C0004_20210514115441_0006_t1.196.Still005.tif,20210514115441,4,06,B,9,,,,,,,,,
B011C0004_20210514115441_0008_t1.174.Still005.tif,20210514115441,4,08,B,12,,,,,,,,,
B011C0004_20210514115441_0008_t2.145.Still005.tif,20210514115441,4,08,B,5,,,,,,,,,
B011C0004_20210514115441_0009_t1.54.Still005.tif,20210514115441,4,09,B,4,,,,,,,,,
B011C0004_20210514115441_0012_t1.40.Still005.tif,20210514115441,4,12,B,undetermined,,,,,,,,,
B011C0004_20210514115441_0013_t1.15.Still005.tif,20210514115441,4,13,B,5,,,,,,,,,
B011C0004_20210514115441_0013_t2.2.Still005.tif,20210514115441,4,13,B,7,,,,,,,,,
B011C0004_20210514115441_0014_t1.152.Still005.tif,20210514115441,4,14,B,undetermined,,,,,,,,,
B011C0004_20210514115441_0014_t2.94.Still005.tif,20210514115441,4,14,B,2,,,,,,,,,
B011C0004_20210514115441_0014_t3.30.Still005.tif,20210514115441,4,14,B,undetermined,,,,,,,,,
B011C0004_20210514115441_0015_t2.30.Still005.tif,20210514115441,4,15,B,14,,,,,,,,,
B011C0004_20210514115441_0016_t2.64.Still005.tif,20210514115441,4,16,B,10,,,,,,,,,
B011C0004_20210514115441_0017_t1.55.Still005.tif,20210514115441,4,17,B,5,,,,,,,,,
B011C0004_20210514115441_0017_t2.14.Still005.tif,20210514115441,4,17,B,10,,,,,,,,,
B011C0004_20210514115441_0018_t1.57.Still005.tif,20210514115441,4,18,B,undetermined,,,,,,,,,
B012C0002_20210517104319_0004_t1.215.Still005.tif,20210517104319,2,04,B,3,,,,,,,,,
B012C0002_20210517104319_0016_t1.305.Still005.tif,20210517104319,2,16,B,5,,,,,,,,,
B012C0002_20210517104319_0018_t1.231.Still005.tif,20210517104319,2,18,B,5,,,,,,,,,
B012C0002_20210517104319_0019_t1.72.Still005.tif,20210517104319,2,19,B,11,,,,,,,,,
B012C0002_20210517104319_0019_t2.72.Still005.tif,20210517104319,2,19,B,11,,,,,,,,,
B012C0002_20210517104319_0019_t3.48.Still005.tif,20210517104319,2,19,B,18,,,,,,,,,
B012C0002_20210517104319_0025_t1.228.Still005.tif,20210517104319,2,25,B,undetermined,,,,,,,,,
B012C0002_20210517104319_0030_t1.105.Still005.tif,20210517104319,2,30,B,undetermined,,,,,,,,,
B012C0003_20210517112046_0005_t1.257.Still005.tif,20210517112046,3,05,B,10,,,,,,,,,
B012C0003_20210517112046_0006_t1.53.Still005.tif,20210517112046,3,06,B,8,,,,,,,,,
B012C0003_20210517112046_0006_t2.323.Still005.tif,20210517112046,3,06,B,12,,,,,,,,,
B012C0003_20210517112046_0008_t1.252.Still005.tif,20210517112046,3,08,B,18,,,,,,,,,
B012C0003_20210517112046_0014_t1.121.Still005.tif,20210517112046,3,14,B,undetermined,,,,,,,,,
B012C0003_20210517112046_0016_t1.156.Still005.tif,20210517112046,3,16,B,19,,,,,,,,,
B012C0003_20210517112046_0027_t1.16.Still005.tif,20210517112046,3,27,B,2,,,,,,,,,
B015C0030_20210520123734_0001_t1.149.Still005.tif,20210520123734,0,01,B,undetermined,,,,,,,,,
B015C0030_20210520123734_0004_t1.233.Still005.tif,20210520123734,0,04,B,12,,,,,,,,,
B015C0030_20210520123734_0014_t1.69.Still005.tif,20210520123734,0,14,B,undetermined,,,,,,,,,
B015C0030_20210520123734_0015_t1.55.Still005.tif,20210520123734,0,15,B,5,,,,,,,,,
B015C0030_20210520123734_0015_t2.61.Still005.tif,20210520123734,0,15,B,12,,,,,,,,,
B015C0030_20210520123734_0015_t3.31.Still005.tif,20210520123734,0,15,B,13,,,,,,,,,
B015C0030_20210520123734_0019_t1.280.Still005.tif,20210520123734,0,19,B,8,,,,,,,,,
B015C0030_20210520123734_0023_t1.95.Still005.tif,20210520123734,0,23,B,undetermined,,,,,,,,,
B015C0029_20210520120627_0019_t1.126.Still005.tif,20210520120627,9,19,B,12,,,,,,,,,
B015C0029_20210520120627_0020_t1.47.Still005.tif,20210520120627,9,20,B,17,,,,,,,,,
B015C0029_20210520120627_0025_t1.200.Still005.tif,20210520120627,9,25,B,8,,,,,,,,,
B009C0001_20210512130819_0004_t1.238.Still005.tif,20210512130819,1,04,C,16,,,,,,,,,
B009C0001_20210512130819_0005_t1.210.Still005.tif,20210512130819,1,05,C,4,,,,,,,,,
B009C0001_20210512130819_0025_t1.313.Still005.tif,20210512130819,1,25,C,4,,,,,,,,,
B009C0001_20210512130819_0032_t1.403.Still005.tif,20210512130819,1,32,C,8,,,,,,,,,
B009C0001_20210512130819_0033_t1.72.Still005.tif,20210512130819,1,33,C,16,,,,,,,,,
B009C0001_20210512130819_0033_t2.297.Still005.tif,20210512130819,1,33,C,5,,,,,,,,,
B009C0001_20210512130819_0038_t1.201.Still005.tif,20210512130819,1,38,C,undetermined,,,,,,,,,
B009C0001_20210512130819_0046_t1.98.Still005.tif,20210512130819,1,46,C,undetermined,,,,,,,,,
B009C0001_20210512130819_0046_t2.233.Still005.tif,20210512130819,1,46,C,undetermined,,,,,,,,,
B009C0001_20210512130819_0051_t1.289.Still005.tif,20210512130819,1,51,C,5,,,,,,,,,
B009C0001_20210512130819_0052_t1.294.Still005.tif,20210512130819,1,52,C,undetermined,,,,,,,,,
B009C0001_20210512130819_0054_t1.342.Still005.tif,20210512130819,1,54,C,undetermined,,,,,,,,,
B009C0001_20210512130819_0058_t1.285.Still005.tif,20210512130819,1,58,C,1,,,,,,,,,
B009C0001_20210512130819_0058_t2.290.Still005.tif,20210512130819,1,58,C,undetermined,,,,,,,,,
B009C0002_20210512140922_0001_t1.212.Still005.tif,20210512140922,2,01,C,undetermined,,,,,,,,,
B009C0004_20210512143251_0002_t1.113.Still005.tif,20210512143251,4,02,C,undetermined,,,,,,,,,
B009C0004_20210512143251_0008_t1.165.Still005.tif,20210512143251,4,08,C,11,,,,,,,,,
